YYMMDDHHMI,STN,WD,WS,GST,PA,PS,PT,PR,TA,TD,HM,PV,RN,SD,WC,WP,WW,CA,CH,CT,VS,SS,SI,ST,TS,TE,WH,BF,IR,IX
202602121100,181,25,1.8,-9,1021.1,1025.4,-9,-9.0,-0.8,-1.6,94.0,5.4,-9.0,-9.0,-9,-9,-,0,-9,-9,271,0.8,1.33,-9,-0.3,-99.0,-9.0,-9,3,-9
202602121200,181,27,1.9,-9,1020.3,1024.5,7,-1.3,3.3,-2.8,64.0,5.0,-9.0,-9.0,-9,-9,-,0,-9,-9,752,1.0,2.11,-9,2.5,-99.0,-9.0,-9,3,-9
202602121300,181,23,2.4,-9,1019.4,1023.6,-9,-9.0,4.9,-3.6,54.0,4.7,-9.0,-9.0,-9,-9,-,0,-9,-9,1779,1.0,2.41,-9,5.4,-99.0,-9.0,-9,3,-9
202602121400,181,27,2.3,-9,1018.4,1022.6,-9,-9.0,7.0,-3.8,46.0,4.6,-9.0,-9.0,-9,-9,-,0,-9,-9,1889,1.0,2.34,-9,6.9,-99.0,-9.0,-9,3,-9
202602121500,181,20,2.8,-9,1017.8,1021.9,7,-2.6,8.3,-4.2,41.0,4.5,-9.0,-9.0,-9,-9,-,0,-9,-9,2065,1.0,2.04,-9,7.0,-99.0,-9.0,-9,3,-9
202602121600,181,20,3.2,-9,1017.4,1021.5,-9,-9.0,8.1,-3.4,44.0,4.8,-9.0,-9.0,-9,-9,-,0,-9,-9,2039,1.0,1.54,-9,5.6,-99.0,-9.0,-9,3,-9
202602121700,181,18,2.7,-9,1017.1,1021.2,-9,-9.0,7.7,-3.2,46.0,4.8,-9.0,-9.0,-9,-9,-,0,-9,-9,1983,1.0,0.84,-9,3.4,-99.0,-9.0,-9,3,-9
202602121800,181,18,2.0,-9,1017.1,1021.3,5,-0.6,5.7,-3.9,50.0,4.6,-9.0,-9.0,-9,-9,-,0,-9,-9,1867,0.7,0.25,-9,1.0,-99.0,-9.0,-9,3,-9
202602121900,181,32,0.5,-9,1017.5,1021.7,-9,-9.0,2.9,-3.8,61.0,4.6,-9.0,-9.0,-9,-9,-,0,-9,-9,1443,0.0,0.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602122000,181,20,1.4,-9,1018.0,1022.2,-9,-9.0,2.1,-4.4,62.0,4.4,-9.0,-9.0,-9,-9,-,0,-9,-9,1387,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602122100,181,27,0.7,-9,1018.1,1022.4,2,1.1,-0.9,-5.5,71.0,4.1,-9.0,-9.0,-9,-9,-,0,-9,-9,1307,-9.0,-9.00,-9,-0.4,-99.0,-9.0,-9,3,-9
202602122200,181,0,0.1,-9,1018.3,1022.6,-9,-9.0,-0.8,-5.4,71.0,4.1,-9.0,-9.0,-9,-9,-,0,-9,-9,1329,-9.0,-9.00,-9,-0.5,-99.0,-9.0,-9,3,-9
202602122300,181,27,0.5,-9,1017.9,1022.2,-9,-9.0,-2.9,-6.0,79.0,3.9,-9.0,-9.0,-9,-9,-,0,-9,-9,1055,-9.0,-9.00,-9,-0.6,-99.0,-9.0,-9,3,-9
202602130000,181,0,0.0,-9,1017.7,1022.0,8,-0.4,-3.0,-5.8,81.0,4.0,-9.0,-9.0,-9,-9,-,0,-9,-9,853,-9.0,-9.00,-9,-0.8,-99.0,-9.0,-9,3,-9
202602130100,181,0,0.3,-9,1017.6,1021.9,-9,-9.0,-3.3,-5.6,84.0,4.0,-9.0,-9.0,-9,-9,-,0,-9,-9,810,-9.0,-9.00,-9,-0.9,-99.0,-9.0,-9,3,-9
202602130200,181,14,1.0,-9,1017.9,1022.2,-9,-9.0,-3.6,-5.7,85.0,4.0,-9.0,-9.0,-9,-9,-,0,-9,-9,695,-9.0,-9.00,-9,-1.1,-99.0,-9.0,-9,3,-9
202602130300,181,0,0.2,-9,1017.8,1022.1,0,0.1,-3.5,-5.2,88.0,4.2,-9.0,-9.0,-9,-9,-,9,8,-9,595,-9.0,-9.00,-9,-1.0,-99.0,-9.0,-9,3,-9
202602130400,181,20,0.8,-9,1017.7,1022.0,-9,-9.0,-3.0,-5.4,83.0,4.1,-9.0,-9.0,-9,-9,-,9,7,-9,720,-9.0,-9.00,-9,-1.0,-99.0,-9.0,-9,3,-9
202602130500,181,0,0.3,-9,1016.9,1021.2,-9,-9.0,-2.6,-4.7,85.0,4.3,-9.0,-9.0,-9,-9,-,9,6,-9,671,-9.0,-9.00,-9,-0.9,-99.0,-9.0,-9,3,-9
202602130600,181,23,1.5,-9,1017.0,1021.3,5,-0.8,-1.9,-4.7,81.0,4.3,-9.0,-9.0,-9,-9,-,9,6,-9,752,-9.0,-9.00,-9,-0.8,-99.0,-9.0,-9,3,-9
202602130700,181,5,0.8,-9,1017.0,1021.3,-9,-9.0,-1.9,-4.5,82.0,4.4,-9.0,-9.0,-9,-9,-,0,-9,-9,668,-9.0,-9.00,-9,-0.8,-99.0,-9.0,-9,3,-9
202602130800,181,0,0.3,-9,1017.5,1021.8,-9,-9.0,-3.0,-5.0,86.0,4.2,-9.0,-9.0,-9,-9,-,0,-9,-9,549,0.0,0.04,-9,-1.2,-99.0,-9.0,-9,3,-9
202602130900,181,0,0.4,-9,1017.5,1021.8,1,0.5,-0.9,-3.9,80.0,4.6,-9.0,-9.0,-9,-9,-,0,-9,-9,562,0.3,0.45,-9,-0.7,-99.0,-9.0,-9,3,-9
202602131000,181,0,0.3,-9,1017.4,1021.6,-9,-9.0,1.3,-3.2,72.0,4.8,-9.0,-9.0,-9,-9,-,7,5,-9,685,0.2,0.71,-9,-0.4,-99.0,-9.0,-9,3,-9
202602131100,181,2,1.3,-9,1017.1,1021.3,-9,-9.0,4.9,-1.3,64.0,5.6,-9.0,-9.0,-9,-9,-,0,-9,-9,727,0.7,1.47,-9,-0.1,-99.0,-9.0,-9,3,-9
202602131200,181,27,1.9,-9,1016.5,1020.6,7,-1.2,7.3,-0.9,56.0,5.7,-9.0,-9.0,-9,-9,-,0,-9,-9,777,1.0,2.05,-9,3.3,-99.0,-9.0,-9,3,-9
202602131300,181,25,2.2,-9,1015.5,1019.6,-9,-9.0,9.2,-1.2,48.0,5.6,-9.0,-9.0,-9,-9,-,0,-9,-9,927,1.0,2.29,-9,6.4,-99.0,-9.0,-9,3,-9
202602131400,181,23,2.8,-9,1014.9,1019.0,-9,-9.0,10.4,-1.0,45.0,5.7,-9.0,-9.0,-9,-9,-,0,-9,-9,949,1.0,2.17,-9,8.4,-99.0,-9.0,-9,3,-9
202602131500,181,25,2.7,-9,1014.6,1018.7,7,-1.9,11.5,0.0,45.0,6.1,-9.0,-9.0,-9,-9,-,0,-9,-9,826,1.0,1.91,-9,8.5,-99.0,-9.0,-9,3,-9
202602131600,181,25,2.4,-9,1014.8,1018.9,-9,-9.0,10.7,0.1,48.0,6.2,-9.0,-9.0,-9,-9,-,4,14,-9,812,0.6,1.08,-9,6.5,-99.0,-9.0,-9,3,-9
202602131700,181,23,1.6,-9,1014.5,1018.6,-9,-9.0,10.8,0.4,49.0,6.3,-9.0,-9.0,-9,-9,-,0,-9,-9,766,0.4,0.60,-9,4.7,-99.0,-9.0,-9,3,-9
202602131800,181,23,1.3,-9,1014.6,1018.7,4,0.0,8.7,0.1,55.0,6.2,-9.0,-9.0,-9,-9,-,0,-9,-9,715,0.0,0.20,-9,2.3,-99.0,-9.0,-9,3,-9
202602131900,181,20,0.7,-9,1014.9,1019.1,-9,-9.0,4.9,-0.5,68.0,5.9,-9.0,-9.0,-9,-9,-,0,-9,-9,603,0.0,0.00,-9,0.2,-99.0,-9.0,-9,3,-9
202602132000,181,20,1.7,-9,1015.4,1019.6,-9,-9.0,5.6,0.5,70.0,6.3,-9.0,-9.0,-9,-9,-,0,-9,-9,501,-9.0,-9.00,-9,-0.2,-99.0,-9.0,-9,3,-9
202602132100,181,20,1.0,-9,1015.6,1019.8,2,1.1,4.2,0.6,78.0,6.4,-9.0,-9.0,-9,-9,-,0,-9,-9,419,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602132200,181,0,0.0,-9,1015.5,1019.7,-9,-9.0,2.7,0.0,83.0,6.1,-9.0,-9.0,-9,-9,-,0,-9,-9,333,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602132300,181,0,0.0,-9,1015.5,1019.7,-9,-9.0,1.0,-0.4,90.0,5.9,-9.0,-9.0,-9,-9,-,0,-9,-9,245,-9.0,-9.00,-9,-0.4,-99.0,-9.0,-9,3,-9
202602140000,181,0,0.0,-9,1015.5,1019.8,4,0.0,0.1,-0.9,93.0,5.7,-9.0,-9.0,-9,-9,-,0,-9,-9,203,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602140100,181,0,0.0,-9,1015.7,1020.0,-9,-9.0,-0.7,-1.6,93.0,5.4,-9.0,-9.0,-9,-9,-,0,-9,-9,176,-9.0,-9.00,-9,-0.4,-99.0,-9.0,-9,3,-9
202602140200,181,0,0.0,-9,1015.7,1020.0,-9,-9.0,-0.4,-1.5,92.0,5.5,-9.0,-9.0,-9,-9,-,4,60,-9,189,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602140300,181,5,0.9,-9,1015.3,1019.6,8,-0.2,-1.6,-2.4,94.0,5.1,-9.0,-9.0,-9,-9,-,8,4,-9,165,-9.0,-9.00,-9,-0.4,-99.0,-9.0,-9,3,-9
202602140400,181,5,0.8,-9,1014.9,1019.2,-9,-9.0,-1.7,-2.4,95.0,5.1,-9.0,-9.0,-9,-9,-,2,65,-9,127,-9.0,-9.00,-9,-0.4,-99.0,-9.0,-9,3,-9
202602140500,181,0,0.0,-9,1015.1,1019.4,-9,-9.0,-1.8,-2.6,94.0,5.0,-9.0,-9.0,-9,-9,-,3,55,-9,161,-9.0,-9.00,-9,-0.4,-99.0,-9.0,-9,3,-9
202602140600,181,0,0.0,-9,1014.9,1019.2,6,-0.4,-1.8,-2.4,95.0,5.1,-9.0,-9.0,-9,-9,-,1,56,-9,131,-9.0,-9.00,-9,-0.5,-99.0,-9.0,-9,3,-9
202602140700,181,0,0.0,-9,1014.7,1019.0,-9,-9.0,-2.0,-2.8,94.0,5.0,-9.0,-9.0,-9,-9,-,6,51,-9,130,-9.0,-9.00,-9,-0.5,-99.0,-9.0,-9,3,-9
202602140800,181,0,0.0,-9,1014.8,1019.1,-9,-9.0,-1.4,-2.2,94.0,5.2,-9.0,-9.0,-9,-9,-,1,-9,-9,158,0.0,0.04,-9,-0.5,-99.0,-9.0,-9,3,-9
202602140900,181,0,0.4,-9,1015.0,1019.3,3,0.1,0.0,-1.0,93.0,5.7,-9.0,-9.0,-9,-9,-,0,-9,-9,161,0.0,0.32,-9,-0.4,-99.0,-9.0,-9,3,-9
202602141000,181,5,1.1,-9,1014.6,1018.8,-9,-9.0,2.1,0.0,86.0,6.1,-9.0,-9.0,-9,-9,-,4,9,-9,208,0.0,0.68,-9,-0.3,-99.0,-9.0,-9,3,-9
202602141100,181,7,2.0,-9,1014.1,1018.3,-9,-9.0,5.1,1.0,75.0,6.6,-9.0,-9.0,-9,-9,-,0,-9,-9,305,0.8,1.37,-9,-0.3,-99.0,-9.0,-9,3,-9
202602141200,181,2,0.6,-9,1013.8,1017.9,7,-1.4,7.6,1.6,66.0,6.9,-9.0,-9.0,-9,-9,-,1,13,-9,404,0.9,1.87,-9,3.6,-99.0,-9.0,-9,3,-9
202602141300,181,36,1.1,-9,1012.8,1016.9,-9,-9.0,9.8,1.9,58.0,7.0,-9.0,-9.0,-9,-9,-,8,13,-9,508,0.0,1.21,-9,6.8,-99.0,-9.0,-9,3,-9
202602141400,181,23,1.6,-9,1012.1,1016.2,-9,-9.0,10.7,2.5,57.0,7.3,-9.0,-9.0,-9,-9,-,9,13,-9,923,0.0,1.36,-9,8.1,-99.0,-9.0,-9,3,-9
202602141500,181,32,1.0,-9,1011.3,1015.3,7,-2.6,12.6,2.7,51.0,7.4,-9.0,-9.0,-9,-9,-,0,-9,-9,1050,0.6,1.72,-9,10.4,-99.0,-9.0,-9,3,-9
202602141600,181,23,1.7,-9,1011.0,1015.0,-9,-9.0,12.5,2.8,52.0,7.5,-9.0,-9.0,-9,-9,-,0,-9,-9,914,0.8,1.35,-9,9.4,-99.0,-9.0,-9,3,-9
202602141700,181,2,1.2,-9,1010.9,1014.9,-9,-9.0,12.2,3.1,54.0,7.6,-9.0,-9.0,-9,-9,-,3,13,-9,1122,0.5,0.66,-9,7.5,-99.0,-9.0,-9,3,-9
202602141800,181,11,0.6,-9,1011.1,1015.2,5,-0.1,9.5,2.7,63.0,7.4,-9.0,-9.0,-9,-9,-,0,-9,-9,971,0.0,0.19,-9,4.8,-99.0,-9.0,-9,3,-9
202602141900,181,23,0.9,-9,1011.5,1015.6,-9,-9.0,7.4,2.0,69.0,7.1,-9.0,-9.0,-9,-9,-,0,-9,-9,776,0.0,0.00,-9,3.0,-99.0,-9.0,-9,3,-9
202602142000,181,20,1.4,-9,1011.8,1016.0,-9,-9.0,5.6,1.6,76.0,6.9,-9.0,-9.0,-9,-9,-,0,-9,-9,739,-9.0,-9.00,-9,1.7,-99.0,-9.0,-9,3,-9
202602142100,181,36,0.5,-9,1012.3,1016.5,2,1.3,4.0,1.5,84.0,6.8,-9.0,-9.0,-9,-9,-,0,-9,-9,566,-9.0,-9.00,-9,0.9,-99.0,-9.0,-9,3,-9
202602142200,181,5,0.9,-9,1012.9,1017.1,-9,-9.0,1.4,-0.3,88.0,6.0,-9.0,-9.0,-9,-9,-,0,-9,-9,390,-9.0,-9.00,-9,0.0,-99.0,-9.0,-9,3,-9
202602142300,181,0,0.0,-9,1013.0,1017.2,-9,-9.0,1.8,0.4,91.0,6.3,-9.0,-9.0,-9,-9,-,0,-9,-9,341,-9.0,-9.00,-9,0.0,-99.0,-9.0,-9,3,-9
202602150000,181,18,0.8,-9,1013.0,1017.2,1,0.7,1.2,-0.1,91.0,6.1,-9.0,-9.0,-9,-9,-,0,-9,-9,316,-9.0,-9.00,-9,-0.2,-99.0,-9.0,-9,3,-9
202602150100,181,0,0.3,-9,1013.6,1017.8,-9,-9.0,0.7,-0.1,94.0,6.1,-9.0,-9.0,-9,-9,-,0,-9,-9,251,-9.0,-9.00,-9,-0.2,-99.0,-9.0,-9,3,-9
202602150200,181,0,0.0,-9,1013.9,1018.2,-9,-9.0,-0.1,-0.8,95.0,5.8,-9.0,-9.0,-9,-9,-,2,8,-9,206,-9.0,-9.00,-9,-0.2,-99.0,-9.0,-9,3,-9
202602150300,181,0,0.0,-9,1014.0,1018.2,1,1.0,0.8,0.0,95.0,6.1,-9.0,-9.0,-9,-9,-,9,7,-9,218,-9.0,-9.00,-9,-0.1,-99.0,-9.0,-9,3,-9
202602150400,181,16,0.6,-9,1014.0,1018.2,-9,-9.0,1.4,0.5,94.0,6.3,-9.0,-9.0,-9,-9,-,7,6,-9,264,-9.0,-9.00,-9,-0.2,-99.0,-9.0,-9,3,-9
202602150500,181,0,0.3,-9,1014.4,1018.6,-9,-9.0,1.3,0.1,92.0,6.2,-9.0,-9.0,-9,-9,-,4,7,-9,292,-9.0,-9.00,-9,-0.2,-99.0,-9.0,-9,3,-9
202602150600,181,0,0.2,-9,1014.8,1019.0,2,0.8,1.4,0.2,92.0,6.2,-9.0,-9.0,-9,-9,-,5,7,-9,306,-9.0,-9.00,-9,-0.1,-99.0,-9.0,-9,3,-9
202602150700,181,18,0.7,-9,1015.0,1019.2,-9,-9.0,1.8,0.6,92.0,6.4,-9.0,-9.0,-9,-9,-,9,7,-9,315,-9.0,-9.00,-9,-0.1,-99.0,-9.0,-9,3,-9
202602150800,181,0,0.0,-9,1016.0,1020.2,-9,-9.0,1.9,0.7,92.0,6.4,-9.0,-9.0,-9,-9,-,9,6,-9,302,0.0,0.03,-9,-0.1,-99.0,-9.0,-9,3,-9
202602150900,181,34,0.5,-9,1016.5,1020.7,2,1.7,3.4,1.4,87.0,6.8,-9.0,-9.0,-9,-9,-,4,5,-9,352,0.0,0.13,-9,0.8,-99.0,-9.0,-9,3,-9
202602151000,181,2,2.0,-9,1016.8,1021.0,-9,-9.0,5.5,3.1,85.0,7.6,-9.0,-9.0,-9,-9,-,9,4,-9,342,0.0,0.25,-9,2.1,-99.0,-9.0,-9,3,-9
202602151100,181,32,2.3,-9,1016.9,1021.1,-9,-9.0,7.1,3.3,77.0,7.7,-9.0,-9.0,-9,-9,-,5,6,-9,504,0.0,0.68,-9,4.6,-99.0,-9.0,-9,3,-9
202602151200,181,32,1.1,-9,1016.6,1020.7,4,0.0,7.6,2.6,71.0,7.4,-9.0,-9.0,-9,-9,-,4,5,-9,560,0.0,0.72,-9,5.7,-99.0,-9.0,-9,3,-9
202602151300,181,32,2.9,-9,1015.8,1019.9,-9,-9.0,9.3,1.6,59.0,6.9,-9.0,-9.0,-9,-9,-,4,7,-9,719,0.2,1.37,-9,8.6,-99.0,-9.0,-9,3,-9
202602151400,181,29,2.4,-9,1015.7,1019.8,-9,-9.0,10.9,1.4,52.0,6.8,-9.0,-9.0,-9,-9,-,0,-9,-9,867,0.9,2.09,-9,11.0,-99.0,-9.0,-9,3,-9
202602151500,181,27,2.6,-9,1015.7,1019.8,6,-0.9,11.2,-0.6,44.0,5.8,-9.0,-9.0,-9,-9,-,0,-9,-9,1206,1.0,1.93,-9,11.1,-99.0,-9.0,-9,3,-9
202602151600,181,32,3.6,-9,1015.7,1019.8,-9,-9.0,10.8,-8.4,25.0,3.2,-9.0,-9.0,-9,-9,-,0,-9,-9,2717,1.0,1.47,-9,9.5,-99.0,-9.0,-9,3,-9
202602151700,181,29,3.5,-9,1015.6,1019.7,-9,-9.0,9.5,-11.2,22.0,2.6,-9.0,-9.0,-9,-9,-,0,-9,-9,3744,1.0,0.93,-9,7.1,-99.0,-9.0,-9,3,-9
202602151800,181,32,5.5,-9,1015.9,1020.1,3,0.3,6.4,-7.9,35.0,3.4,-9.0,-9.0,-9,-9,-,0,-9,-9,3051,0.6,0.29,-9,4.7,-99.0,-9.0,-9,3,-9
202602151900,181,32,2.5,-9,1017.0,1021.2,-9,-9.0,3.8,-8.5,40.0,3.2,-9.0,-9.0,-9,-9,-,0,-9,-9,4597,0.0,0.00,-9,2.8,-99.0,-9.0,-9,3,-9
202602152000,181,32,3.3,-9,1017.7,1021.9,-9,-9.0,3.1,-9.2,40.0,3.0,-9.0,-9.0,-9,-9,-,0,-9,-9,4890,-9.0,-9.00,-9,1.6,-99.0,-9.0,-9,3,-9
202602152100,181,20,0.7,-9,1018.5,1022.7,2,2.6,1.5,-8.3,48.0,3.3,-9.0,-9.0,-9,-9,-,0,-9,-9,4108,-9.0,-9.00,-9,0.7,-99.0,-9.0,-9,3,-9
202602152200,181,20,0.5,-9,1018.7,1023.0,-9,-9.0,0.4,-7.8,54.0,3.4,-9.0,-9.0,-9,-9,-,6,40,-9,4595,-9.0,-9.00,-9,0.4,-99.0,-9.0,-9,3,-9
202602152300,181,23,1.7,-9,1019.0,1023.3,-9,-9.0,-1.1,-6.6,66.0,3.7,-9.0,-9.0,-9,-9,-,1,76,-9,4215,-9.0,-9.00,-9,0.2,-99.0,-9.0,-9,3,-9
202602160000,181,27,1.1,-9,1018.9,1023.2,0,0.5,-0.4,-5.9,66.0,3.9,-9.0,-9.0,-9,-9,-,0,-9,-9,4118,-9.0,-9.00,-9,0.1,-99.0,-9.0,-9,3,-9
202602160100,181,29,2.0,-9,1019.1,1023.4,-9,-9.0,-0.1,-6.7,61.0,3.7,-9.0,-9.0,-9,-9,-,1,45,-9,4040,-9.0,-9.00,-9,0.0,-99.0,-9.0,-9,3,-9
